source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[enrichment process]	characteristics[dna substrate]	characteristics[treatment]	characteristics[sampling time]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[elution conditions]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[dna substrate]	factor value[treatment]	factor value[sampling time]
PXD008831-Sample-11	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	geminin	10 minute	control sample	3	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-24T05:03:22	20160223_QEp6_MaRa_SA_mr4p44_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	geminin	10 minute
PXD008831-Sample-12	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pCTRL	geminin	10 minute	control sample	4	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-24T09:21:56	20160223_QEp6_MaRa_SA_mr4p44_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pCTRL	geminin	10 minute
PXD008831-Sample-13	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	12 minute	study sample	1	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-26T01:40:15	20160223_QEp6_MaRa_SA_mr4p44_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	12 minute
PXD008831-Sample-14	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	12 minute	study sample	2	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-26T05:59:45	20160223_QEp6_MaRa_SA_mr4p44_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	12 minute
PXD008831-Sample-15	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	12 minute	study sample	3	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-26T10:19:17	20160223_QEp6_MaRa_SA_mr4p44_15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	12 minute
PXD008831-Sample-16	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	12 minute	study sample	4	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-26T14:39:34	20160223_QEp6_MaRa_SA_mr4p44_16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	12 minute
PXD008831-Sample-17	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	20 minute	study sample	1	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-26T19:28:19	20160223_QEp6_MaRa_SA_mr4p44_17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	20 minute
PXD008831-Sample-18	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	20 minute	study sample	2	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-26T23:48:53	20160223_QEp6_MaRa_SA_mr4p44_18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	20 minute
PXD008831-Sample-19	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	20 minute	study sample	3	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-27T04:08:55	20160223_QEp6_MaRa_SA_mr4p44_19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	20 minute
PXD008831-Sample-20	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	20 minute	study sample	4	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-27T08:29:08	20160223_QEp6_MaRa_SA_mr4p44_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	20 minute
PXD008831-Sample-21	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	40 minute	study sample	1	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-27T13:18:27	20160223_QEp6_MaRa_SA_mr4p44_21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	40 minute
PXD008831-Sample-22	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	40 minute	study sample	2	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-27T17:38:23	20160223_QEp6_MaRa_SA_mr4p44_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	40 minute
PXD008831-Sample-23	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	40 minute	study sample	3	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-27T21:58:13	20160223_QEp6_MaRa_SA_mr4p44_23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	40 minute
PXD008831-Sample-24	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	40 minute	study sample	4	run 24	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-28T02:18:27	20160223_QEp6_MaRa_SA_mr4p44_24.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	40 minute
PXD008831-Sample-25	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	60 minute	study sample	1	run 25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-28T07:07:49	20160223_QEp6_MaRa_SA_mr4p44_25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	60 minute
PXD008831-Sample-26	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	60 minute	study sample	2	run 26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-28T11:27:59	20160223_QEp6_MaRa_SA_mr4p44_26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	60 minute
PXD008831-Sample-27	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	60 minute	study sample	3	run 27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-28T15:48:47	20160223_QEp6_MaRa_SA_mr4p44_27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	60 minute
PXD008831-Sample-28	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	60 minute	study sample	4	run 28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-28T20:09:44	20160223_QEp6_MaRa_SA_mr4p44_28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	60 minute
PXD008831-Sample-29	Xenopus laevis	egg	egg cell	normal	adult	female	not available	not applicable	sample enrichment	pDPC2xLead	untreated	120 minute	study sample	1	run 29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	7 ppm	20 ppm	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	200m/z-2000m/z	2	6	nanoflow reversed-phase LC (EASY-nLC) at 200 nL/min, 2-5% B in 3 min, 5-35% B in 190 min, 35-65% B in 12 min, 65-95% B in 5 min, 95% B for 5 min, back to 5% B, 226 min total	not applicable	1	1	2016-02-29T00:59:55	20160223_QEp6_MaRa_SA_mr4p44_29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	pDPC2xLead	untreated	120 minute
