source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
CT6-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	6 hour	enrichment of phosphorylated protein	no depletion	4	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-05T02:49:58	20140903_QEp6_ChRo_SA_Liver_Phospho_CT6_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	6 hour
CT9-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	9 hour	enrichment of phosphorylated protein	no depletion	1	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-05T08:22:38	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	9 hour
CT9-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	9 hour	enrichment of phosphorylated protein	no depletion	2	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-05T13:30:41	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	9 hour
CT9-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	9 hour	enrichment of phosphorylated protein	no depletion	3	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-05T18:38:53	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	9 hour
CT9-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	9 hour	enrichment of phosphorylated protein	no depletion	4	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-05T23:46:57	20140904_QEp6_ChRo_SA_Liver_Phospho_CT9_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	9 hour
CT12-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	12 hour	enrichment of phosphorylated protein	no depletion	1	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-06T05:19:45	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	12 hour
CT18-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	18 hour	enrichment of phosphorylated protein	no depletion	2	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-06T10:28:05	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	18 hour
CT12-3	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	12 hour	enrichment of phosphorylated protein	no depletion	3	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-06T15:36:45	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	12 hour
CT12-4	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	12 hour	enrichment of phosphorylated protein	no depletion	4	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-06T20:45:27	20140905_QEp6_ChRo_SA_Liver_Phospho_CT12_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	12 hour
CT15-1	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	15 hour	enrichment of phosphorylated protein	no depletion	1	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-07T02:18:45	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	15 hour
CT21-2	Mus musculus	liver	not applicable	normal	tissue	adult	C57BL/6J	not available	21 hour	enrichment of phosphorylated protein	no depletion	2	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=HCD;AC=MS:1000422	27% NCE	NT=orbitrap;AC=MS:1000484	300m/z-1600m/z	200m/z-2000m/z	2	5	0	270	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	not applicable	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=Phospho;MT=Variable;TA=S,T,Y;AC=UNIMOD:21	4.5 ppm	20 ppm	1	1	2014-09-07T07:27:47	20140905_QEp6_ChRo_SA_Liver_Phospho_CT15_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	21 hour
