source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]	factor value[cell type]	factor value[sampling time]
PXD001250-Sample-2	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	2	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	1	2012-08-23	20120821_EXQ5_KiSh_SA_Collab_neuroB_insol_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-2	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	2	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	1	2012-08-24	20120821_EXQ5_KiSh_SA_Collab_neuroB_insol_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-3	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	3	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	2012-08-24	20120824_EXQ5_KiSh_SA_Collab_neuroC_insol_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-3	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	3	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	2012-08-24	20120824_EXQ5_KiSh_SA_Collab_neuroC_insol_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-3	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	3	run 15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	2012-08-24	20120824_EXQ5_KiSh_SA_Collab_neuroC_insol_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-3	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	3	run 16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	1	2012-08-24	20120824_EXQ5_KiSh_SA_Collab_neuroC_insol_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-3	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	3	run 17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	1	2012-08-25	20120824_EXQ5_KiSh_SA_Collab_neuroC_insol_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-3	Mus musculus	brain	central nervous system	microglial cell	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	3	run 18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	1	2012-08-25	20120824_EXQ5_KiSh_SA_Collab_neuroC_insol_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	microglial cell	not applicable
PXD001250-Sample-4	Mus musculus	brain	central nervous system	astrocyte	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	1	run 19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	2012-08-26	20120825_EXQ5_KiSh_SA_Collab_neuroD_insol_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	astrocyte	not applicable
PXD001250-Sample-4	Mus musculus	brain	central nervous system	astrocyte	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	1	run 20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	2012-08-26	20120825_EXQ5_KiSh_SA_Collab_neuroD_insol_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	astrocyte	not applicable
PXD001250-Sample-4	Mus musculus	brain	central nervous system	astrocyte	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	1	run 21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	2012-08-26	20120825_EXQ5_KiSh_SA_Collab_neuroD_insol_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	astrocyte	not applicable
PXD001250-Sample-4	Mus musculus	brain	central nervous system	astrocyte	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	1	run 22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	1	2012-08-25	20120825_EXQ5_KiSh_SA_Collab_neuroD_insol_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	astrocyte	not applicable
PXD001250-Sample-4	Mus musculus	brain	central nervous system	astrocyte	normal	neonate	not available	not available	cell	study sample	pooled	not applicable	not applicable	no depletion	1	run 23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=HCD;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	300m/z-1700m/z	not available	not available	20 ppm	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	1	2012-08-25	20120825_EXQ5_KiSh_SA_Collab_neuroD_insol_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brain	astrocyte	not applicable
