source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[treatment]	characteristics[sampling time]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[ms min charge]	comment[ms max charge]	comment[ms min rt]	comment[ms max rt]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[elution conditions]	comment[sample preparation batch]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]	factor value[treatment]
WAT_donor1_control	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor1	untreated	4 hour	no depletion	1	WAT_woNE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-04	20140404_EXQ8_AtDe_SA_WAT_Secr_MP13_wo_NE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	untreated
WAT_donor1_NE	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor1	l-Norepinephrine	4 hour	no depletion	1	WAT_NE1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-04	20140404_EXQ8_AtDe_SA_WAT_Secr_MP14_NE1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	l-Norepinephrine
WAT_donor2_control	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor2	untreated	4 hour	no depletion	2	WAT_woNE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-04	20140404_EXQ8_AtDe_SA_WAT_Secr_MP21_wo_NE2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	untreated
WAT_donor2_NE	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor2	l-Norepinephrine	4 hour	no depletion	2	WAT_NE2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-05	20140404_EXQ8_AtDe_SA_WAT_Secr_MP22_NE2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	l-Norepinephrine
WAT_donor2_NE	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor2	l-Norepinephrine	4 hour	no depletion	2	WAT_NE2_rep2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	2	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-05	20140404_EXQ8_AtDe_SA_WAT_Secr_MP22_NE2_140405155219.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	l-Norepinephrine
WAT_donor3_control	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor3	untreated	4 hour	no depletion	3	WAT_woNE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-05	20140404_EXQ8_AtDe_SA_WAT_Secr_MC1_wo_NE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	untreated
WAT_donor3_NE	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor3	l-Norepinephrine	4 hour	no depletion	3	WAT_NE3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-05	20140404_EXQ8_AtDe_SA_WAT_Secr_MC2_NE3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	l-Norepinephrine
WAT_donor4_control	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor4	untreated	4 hour	no depletion	4	WAT_woNE4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-05	20140404_EXQ8_AtDe_SA_WAT_Secr_MC17_wo_NE4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	untreated
WAT_donor4_NE	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor4	l-Norepinephrine	4 hour	no depletion	4	WAT_NE4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-05	20140404_EXQ8_AtDe_SA_WAT_Secr_MC18_NE4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	l-Norepinephrine
WAT_donor5_control	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor5	untreated	4 hour	no depletion	5	WAT_woNE5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-05	20140404_EXQ8_AtDe_SA_WAT_Secr_MC29_wo_NE5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	untreated
WAT_donor5_NE	Homo sapiens	subcutaneous abdominal adipose tissue	adipose tissue	white adipocyte	not available	cell	study sample	adult	not available	not available	not available	WAT_donor5	l-Norepinephrine	4 hour	no depletion	5	WAT_NE5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	not available	2	not available	0	160	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	not applicable	1	1	160 min linear gradient to 80% acetonitrile in 0.5% formic acid at 250 nL/min	secretome-2014	2014-04-06	20140404_EXQ8_AtDe_SA_WAT_Secr_MC30_NE5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	subcutaneous abdominal adipose tissue	l-Norepinephrine
bat5_siControl	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat5	non-targeting siRNA control	12 day	no depletion	1	bat5_scr	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-02	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S11_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	non-targeting siRNA control
bat5_siEPDR1	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat5	EPDR1 siRNA knockdown	12 day	no depletion	1	bat5_si	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-02	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S11_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	EPDR1 siRNA knockdown
bat9_siControl	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat9	non-targeting siRNA control	12 day	no depletion	2	bat9_scr	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-02	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S12_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	non-targeting siRNA control
bat9_siEPDR1	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat9	EPDR1 siRNA knockdown	12 day	no depletion	2	bat9_si	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-02	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S12_4.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	EPDR1 siRNA knockdown
bat13_siControl	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat13	non-targeting siRNA control	12 day	no depletion	3	bat13_scr	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-01	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S9_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	non-targeting siRNA control
bat13_siEPDR1	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat13	EPDR1 siRNA knockdown	12 day	no depletion	3	bat13_si	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-01	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S9_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	EPDR1 siRNA knockdown
bat19_siControl	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat19	non-targeting siRNA control	12 day	no depletion	4	bat19_scr	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-01	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S10_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	non-targeting siRNA control
bat19_siEPDR1	Homo sapiens	brown adipose tissue	adipose tissue	brown adipocyte	not available	cell	study sample	adult	not available	not available	not available	bat19	EPDR1 siRNA knockdown	12 day	no depletion	4	bat19_si	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	2	5	0	100	not available	not available	not applicable	1	1	100 min linear gradient to 80% acetonitrile in 0.5% formic acid at 350 nL/min	proteome-2019	2019-02-02	20190130_QE8_nLC14_ASD_SA_BATWAT_proteome_S10_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	brown adipose tissue	EPDR1 siRNA knockdown
