source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[sampling time]	characteristics[treatment]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[genotype]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	factor value[genotype]	factor value[sampling time]	factor value[treatment]
mouse 448 plasma	Mus musculus	blood plasma	not applicable	2	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 448	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_448_B8	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_448_B8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 450 plasma	Mus musculus	blood plasma	not applicable	3	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 450	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_450_B7	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_450_B7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 452 plasma	Mus musculus	blood plasma	not applicable	3	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 452	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_452_C11	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_452_C11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 454 plasma	Mus musculus	blood plasma	not applicable	4	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 454	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_454_C2	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_454_C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 456 plasma	Mus musculus	blood plasma	not applicable	5	not available	12 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 456	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_456_A10	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_456_A10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	12 day	not applicable
mouse 460 plasma	Mus musculus	blood plasma	not applicable	4	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 460	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_460_B4	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_460_B4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 462 plasma	Mus musculus	blood plasma	not applicable	4	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 462	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_462_C10	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_462_C10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 464 plasma	Mus musculus	blood plasma	not applicable	5	not available	21 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 464	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_464_C5	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_464_C5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	21 day	not applicable
mouse 466 plasma	Mus musculus	blood plasma	not applicable	5	normal	21 day	not applicable	adult	not available	female	Nampt fl/fl (floxed wild type littermate)	mouse 466	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_466_C1	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_466_C1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl (floxed wild type littermate)	21 day	not applicable
mouse 468 plasma	Mus musculus	blood plasma	not applicable	2	not available	6 day	not applicable	adult	not available	female	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	mouse 468	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_468_A4	proteomic profiling by mass spectrometry	1	20190331_QE10_nLC13_NAMPT_LiNi_SA_plasma_468_A4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=HCD;AC=MS:1000422	25% NCE;27.5% NCE;30% NCE	not available	not available	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	Experiment1 plasma (PD time course)	350m/z-1650m/z	350	1650	not available	Nampt fl/fl Alb-Cre+/- (hepatocyte-specific Nampt knockout)	6 day	not applicable
