source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[sample type]	characteristics[depletion]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[ms2 mass analyzer]	comment[collision energy]	comment[ms1 scan range]	comment[ms min charge]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[lc batch]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
ES1_BY4741	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	negative control	no depletion	BY4741 (untagged)	5	Orbi2_EvKe_SA_IP_BY4741_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	2	ES1	Orbi2	2011-09-07T21:35:13	Orbi2_EvKe_SA_IP_BY4741_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	BY4741 (untagged)
ES1_BY4741	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	negative control	no depletion	BY4741 (untagged)	5	Orbi2_EvKe_SA_IP_BY4741_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	3	ES1	Orbi2	2011-09-07T23:59:20	Orbi2_EvKe_SA_IP_BY4741_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	BY4741 (untagged)
ES1_CCR4-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	CCR4-GFP	5	Orbi2_EvKe_SA_IP_CCR4_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	1	ES1	Orbi2	2012-02-22T19:04:42	Orbi2_EvKe_SA_IP_CCR4_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	CCR4-GFP
ES1_CCR4-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	CCR4-GFP	5	Orbi2_EvKe_SA_IP_CCR4_02_120223133252	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	2	ES1	Orbi2	2012-02-23T13:32:52	Orbi2_EvKe_SA_IP_CCR4_02_120223133252.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	CCR4-GFP
ES1_CCR4-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	CCR4-GFP	5	Orbi2_EvKe_SA_IP_CCR4_03_120223155653	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	3	ES1	Orbi2	2012-02-23T15:56:53	Orbi2_EvKe_SA_IP_CCR4_03_120223155653.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	CCR4-GFP
ES1_CDC73-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	CDC73-GFP	1	Orbi2_EvKe_SA_IP_CDC73_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	1	ES1	Orbi2	2011-05-30T16:34:47	Orbi2_EvKe_SA_IP_CDC73_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	CDC73-GFP
ES1_CDC73-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	CDC73-GFP	1	Orbi2_EvKe_SA_IP_CDC73_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	2	ES1	Orbi2	2011-05-30T18:59:54	Orbi2_EvKe_SA_IP_CDC73_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	CDC73-GFP
ES1_CDC73-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	CDC73-GFP	1	Orbi2_EvKe_SA_IP_CDC73_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	3	ES1	Orbi2	2011-05-30T21:25:01	Orbi2_EvKe_SA_IP_CDC73_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	CDC73-GFP
ES1_MCM2-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	MCM2-GFP	1	Orbi2_EvKe_SA_IP_MCM2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	1	ES1	Orbi2	2011-06-03T12:32:15	Orbi2_EvKe_SA_IP_MCM2_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	MCM2-GFP
ES1_MCM2-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	MCM2-GFP	1	Orbi2_EvKe_SA_IP_MCM2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	2	ES1	Orbi2	2011-06-03T16:57:24	Orbi2_EvKe_SA_IP_MCM2_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	MCM2-GFP
ES1_MCM2-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	MCM2-GFP	1	Orbi2_EvKe_SA_IP_MCM2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	3	ES1	Orbi2	2011-06-03T19:23:14	Orbi2_EvKe_SA_IP_MCM2_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	MCM2-GFP
ES1_MCM4-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	MCM4-GFP	1	Orbi2_EvKe_SA_IP_MCM4_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	1	ES1	Orbi2	2011-05-19T22:06:16	Orbi2_EvKe_SA_IP_MCM4_01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	MCM4-GFP
ES1_MCM4-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	MCM4-GFP	1	Orbi2_EvKe_SA_IP_MCM4_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	2	ES1	Orbi2	2011-05-20T00:32:30	Orbi2_EvKe_SA_IP_MCM4_02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	MCM4-GFP
ES1_MCM4-GFP	Saccharomyces cerevisiae	not applicable	not applicable	not applicable	cell	study sample	no depletion	MCM4-GFP	1	Orbi2_EvKe_SA_IP_MCM4_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Classic;AC=MS:1002835	label free sample	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=linear ion trap;AC=MS:1000291	40 NCE	300m/z-1650m/z	2	4.5 ppm	0.5 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not applicable	1	3	ES1	Orbi2	2011-05-20T02:58:48	Orbi2_EvKe_SA_IP_MCM4_03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	MCM4-GFP
