source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[passage number]	characteristics[culture medium]	characteristics[sample storage temperature]	characteristics[bait]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[elution conditions]	factor value[bait]	factor value[genotype]
P017_H03_GBF1	Homo sapiens	kidney	not available	1	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	GBF1	GBF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0312_CZBMPI_P017H03_GBF1_01	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0312_CZBMPI_P017H03_GBF1_01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	GBF1	GBF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H04_ATL3	Homo sapiens	kidney	not available	10	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	ATL3	ATL3 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0320_CZBMPI_P017H04_ATL3_01	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0320_CZBMPI_P017H04_ATL3_01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	ATL3	ATL3 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H05_CSK	Homo sapiens	kidney	not available	2	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	CSK	CSK endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0321_CZBMPI_P017H05_CSK_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0321_CZBMPI_P017H05_CSK_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	CSK	CSK endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H06_ARF1	Homo sapiens	kidney	not available	2	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	ARF1	ARF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0329_CZBMPI_P017H06_ARF1_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0329_CZBMPI_P017H06_ARF1_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	ARF1	ARF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H07_GBF1	Homo sapiens	kidney	not available	2	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	GBF1	GBF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0337_CZBMPI_P017H07_GBF1_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0337_CZBMPI_P017H07_GBF1_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	GBF1	GBF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H08_ATL3	Homo sapiens	kidney	not available	11	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	ATL3	ATL3 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0345_CZBMPI_P017H08_ATL3_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0345_CZBMPI_P017H08_ATL3_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	ATL3	ATL3 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H09_CSK	Homo sapiens	kidney	not available	3	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	CSK	CSK endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0353_CZBMPI_P017H09_CSK_03	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0353_CZBMPI_P017H09_CSK_03.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	CSK	CSK endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H10_ARF1	Homo sapiens	kidney	not available	3	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	ARF1	ARF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0354_CZBMPI_P017H10_ARF1_03	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0354_CZBMPI_P017H10_ARF1_03.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	ARF1	ARF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H11_GBF1	Homo sapiens	kidney	not available	3	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	GBF1	GBF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0355_CZBMPI_P017H11_GBF1_03	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0355_CZBMPI_P017H11_GBF1_03.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	GBF1	GBF1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P017_H12_ATL3	Homo sapiens	kidney	not available	12	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	ATL3	ATL3 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0356_CZBMPI_P017H12_ATL3_03	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0356_CZBMPI_P017H12_ATL3_03.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P017	Evosep One, 60 samples per day method (21 min gradient)	ATL3	ATL3 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A01_SH3GL1	Homo sapiens	kidney	not available	1	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	SH3GL1	SH3GL1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0385_CZBMPI_P018A01_SH3GL1_01	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0385_CZBMPI_P018A01_SH3GL1_01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	SH3GL1	SH3GL1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A02_SNX2	Homo sapiens	kidney	not available	1	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	SNX2	SNX2 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0393_CZBMPI_P018A02_SNX2_01	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0393_CZBMPI_P018A02_SNX2_01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	SNX2	SNX2 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A03_SNX12	Homo sapiens	kidney	not available	1	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	SNX12	SNX12 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0401_CZBMPI_P018A03_SNX12_01	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0401_CZBMPI_P018A03_SNX12_01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	SNX12	SNX12 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A04_POLR2E	Homo sapiens	kidney	not available	1	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	POLR2E	POLR2E endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0409_CZBMPI_P018A04_POLR2E_01	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0409_CZBMPI_P018A04_POLR2E_01.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	POLR2E	POLR2E endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A05_SH3GL1	Homo sapiens	kidney	not available	2	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	SH3GL1	SH3GL1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0424_CZBMPI_P018A05_SH3GL1_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0424_CZBMPI_P018A05_SH3GL1_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	SH3GL1	SH3GL1 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A06_SNX2	Homo sapiens	kidney	not available	2	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	SNX2	SNX2 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0432_CZBMPI_P018A06_SNX2_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0432_CZBMPI_P018A06_SNX2_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	SNX2	SNX2 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A07_SNX12	Homo sapiens	kidney	not available	2	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	SNX12	SNX12 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0440_CZBMPI_P018A07_SNX12_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0440_CZBMPI_P018A07_SNX12_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	SNX12	SNX12 endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
P018_A08_POLR2E	Homo sapiens	kidney	not available	2	normal	not available	not available	female	late embryonic stage	HEK293T cell	CVCL_0063	HEK293T	not available	not available	not available	POLR2E	POLR2E endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0448_CZBMPI_P018A08_POLR2E_02	proteomic profiling by mass spectrometry	1	20200211_TIMS03_EvoSep04_AnBrAnMi_HumanInteractome_0448_CZBMPI_P018A08_POLR2E_02.d	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=timsTOF Pro;AC=MS:1003005	NT=Lys-C;AC=MS:1001309	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=time-of-flight;AC=MS:1000084	P018	Evosep One, 60 samples per day method (21 min gradient)	POLR2E	POLR2E endogenously tagged with mNG11 (split-mNeonGreen2 knock-in); parental line stably expressing mNG2(1-10)
