source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[sampling site]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[sample type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[individual]	characteristics[depletion]	characteristics[spiked compound]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[sample preparation batch]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
HBL-1_indepth_R2	Homo sapiens	pleural effusion	hematopoietic system	Pleural effusion	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	HBL-1	CVCL_4213	HBL-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	65Y	male	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	2	20101217_Velos4_SaDe_SA_HBL13_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101217_Velos4_SaDe_SA_HBL13_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
HBL-1_indepth_R2	Homo sapiens	pleural effusion	hematopoietic system	Pleural effusion	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	HBL-1	CVCL_4213	HBL-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	65Y	male	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	2	20101217_Velos4_SaDe_SA_HBL13_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101217_Velos4_SaDe_SA_HBL13_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
HBL-1_indepth_R2	Homo sapiens	pleural effusion	hematopoietic system	Pleural effusion	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	HBL-1	CVCL_4213	HBL-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	65Y	male	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	2	20101217_Velos4_SaDe_SA_HBL13_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101217_Velos4_SaDe_SA_HBL13_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
HBL-1_indepth_R2	Homo sapiens	pleural effusion	hematopoietic system	Pleural effusion	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	HBL-1	CVCL_4213	HBL-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	65Y	male	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	2	20101217_Velos4_SaDe_SA_HBL13_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101217_Velos4_SaDe_SA_HBL13_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
HBL-1_indepth_R2	Homo sapiens	pleural effusion	hematopoietic system	Pleural effusion	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	HBL-1	CVCL_4213	HBL-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	65Y	male	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	2	20101217_Velos4_SaDe_SA_HBL13_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101217_Velos4_SaDe_SA_HBL13_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	1	indepth/HBL1(3)	2010-12-17	20101217_Velos4_SaDe_SA_HBL13_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
Ri-1_indepth_R1	Homo sapiens	blood	hematopoietic system	Peripheral blood	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	Ri-1	CVCL_1885	Ri-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	57Y	female	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	1	20101218_Velos2_SaDe_SA_RIVA2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101218_Velos2_SaDe_SA_RIVA2_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
Ri-1_indepth_R1	Homo sapiens	blood	hematopoietic system	Peripheral blood	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	Ri-1	CVCL_1885	Ri-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	57Y	female	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	1	20101218_Velos2_SaDe_SA_RIVA2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101218_Velos2_SaDe_SA_RIVA2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
Ri-1_indepth_R1	Homo sapiens	blood	hematopoietic system	Peripheral blood	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	Ri-1	CVCL_1885	Ri-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	57Y	female	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	1	20101218_Velos2_SaDe_SA_RIVA2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101218_Velos2_SaDe_SA_RIVA2_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
Ri-1_indepth_R1	Homo sapiens	blood	hematopoietic system	Peripheral blood	diffuse large B-cell lymphoma activated B-cell type	B cell	cell line	study sample	Ri-1	CVCL_1885	Ri-1	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	57Y	female	adult	not available	not available	no depletion	CT=mixture;CN=lymphoma super-SILAC mix;SP=Homo sapiens;QY=100 ug	not pooled	1	20101218_Velos2_SaDe_SA_RIVA2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC light;AC=PRIDE:0000326	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	diffuse large B-cell lymphoma activated B-cell type
lymphoma_super-SILAC_mix	Homo sapiens	not available	hematopoietic system	not available	B-cell lymphoma	B cell	cell line	reference	super-SILAC mix	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	not available	not available	not available	not available	not available	not available	not available	pooled	no depletion	not applicable	SN=Ramos;SN=Mutu;SN=BL-41;SN=U-2932;SN=DB;SN=L-428	pooled	20101218_Velos2_SaDe_SA_RIVA2_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=SILAC heavy;AC=PRIDE:0000325	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=HCD;AC=PRIDE:0000590	not available	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	1	indepth/RIVA(2)	2010-12-18	20101218_Velos2_SaDe_SA_RIVA2_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	B-cell lymphoma
