source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 11	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 11	proteomic profiling by mass spectrometry	1	20171124_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_5.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 12	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 12	proteomic profiling by mass spectrometry	1	20171124_QEP1_PBE_TJ__SF_DiGly_nht_16_0hZBT_6.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 13	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 13	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_1.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 14	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 14	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_2.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 15	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 15	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_3.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 16	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 16	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_4.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 17	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 17	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_5.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 18	Homo sapiens	colon	carcinoma	not applicable	HT_29	1	run 18	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_6.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 19	Homo sapiens	colon	carcinoma	not applicable	HT_29	2	run 19	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_r2_1.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 20	Homo sapiens	colon	carcinoma	not applicable	HT_29	2	run 20	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_r2_2.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 21	Homo sapiens	colon	carcinoma	not applicable	HT_29	2	run 21	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_r2_3.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 22	Homo sapiens	colon	carcinoma	not applicable	HT_29	2	run 22	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_r2_4.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 23	Homo sapiens	colon	carcinoma	not applicable	HT_29	2	run 23	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_r2_5.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 24	Homo sapiens	colon	carcinoma	not applicable	HT_29	2	run 24	proteomic profiling by mass spectrometry	1	20171202_QEP1_PBE_TJ__SF_DiGly_nht_16_6hZBT_r2_6.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
