source name	characteristics[organism]	characteristics[organism part]	characteristics[tissue supergroup]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[sampling time]	characteristics[material type]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[sampling time]	factor value[organism part]	factor value[enrichment process]
soluble_5w_tg_hc_rep3	Mus musculus	hippocampal formation	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	3	20140212_EXQ6_FaHo_SA_267_5w_tg_hc_whole_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-12T22:37:08	20140212_EXQ6_FaHo_SA_267_5w_tg_hc_whole_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	hippocampal formation	not applicable
soluble_5w_tg_hc_rep4	Mus musculus	hippocampal formation	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	4	20140212_EXQ6_FaHo_SA_279_5w_tg_hc_whole_r4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-13T17:15:14	20140212_EXQ6_FaHo_SA_279_5w_tg_hc_whole_r4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	hippocampal formation	not applicable
soluble_5w_tg_st_rep1	Mus musculus	striatum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	1	20140210_EXQ6_FaHo_SA_244_5w_tg_st_whole_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-11T14:01:36	20140210_EXQ6_FaHo_SA_244_5w_tg_st_whole_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	striatum	not applicable
soluble_5w_tg_st_rep2	Mus musculus	striatum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	2	20140210_EXQ6_FaHo_SA_256_5w_tg_st_whole_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-12T08:38:46	20140210_EXQ6_FaHo_SA_256_5w_tg_st_whole_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	striatum	not applicable
soluble_5w_tg_st_rep3	Mus musculus	striatum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	3	20140212_EXQ6_FaHo_SA_268_5w_tg_st_whole_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-13T03:16:35	20140212_EXQ6_FaHo_SA_268_5w_tg_st_whole_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	striatum	not applicable
soluble_5w_tg_st_rep4	Mus musculus	striatum	central nervous system	not applicable	Huntington disease	juvenile stage	female	R6/2 (B6CBA-Tg(HDexon1)62Gpb/1J), CAG 150+/-5 transgenic	5 week	tissue	not applicable	4	20140212_EXQ6_FaHo_SA_280_5w_tg_st_whole_r4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-02-13T21:55:05	20140212_EXQ6_FaHo_SA_280_5w_tg_st_whole_r4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Huntington disease	5 week	striatum	not applicable
soluble_5w_wt_ce_rep1	Mus musculus	cerebellum	central nervous system	not applicable	normal	juvenile stage	female	B6CBA non-transgenic littermate	5 week	tissue	not applicable	1	20140127_EXQ6_FaHo_SA_49_5w_nt_ce_whole_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-01-27T15:26:51	20140127_EXQ6_FaHo_SA_49_5w_nt_ce_whole_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	5 week	cerebellum	not applicable
soluble_5w_wt_ce_rep2	Mus musculus	cerebellum	central nervous system	not applicable	normal	juvenile stage	female	B6CBA non-transgenic littermate	5 week	tissue	not applicable	2	20140127_EXQ6_FaHo_SA_61_5w_nt_ce_whole_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-01-28T10:13:41	20140127_EXQ6_FaHo_SA_61_5w_nt_ce_whole_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	5 week	cerebellum	not applicable
soluble_5w_wt_ce_rep3	Mus musculus	cerebellum	central nervous system	not applicable	normal	juvenile stage	female	B6CBA non-transgenic littermate	5 week	tissue	not applicable	3	20140127_EXQ6_FaHo_SA_73_5w_nt_ce_whole_r3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-01-29T05:02:28	20140127_EXQ6_FaHo_SA_73_5w_nt_ce_whole_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	5 week	cerebellum	not applicable
soluble_5w_wt_ce_rep4	Mus musculus	cerebellum	central nervous system	not applicable	normal	juvenile stage	female	B6CBA non-transgenic littermate	5 week	tissue	not applicable	4	20140130_EXQ6_FaHo_SA_85_5w_nt_ce_whole_r4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-01-30T14:45:26	20140130_EXQ6_FaHo_SA_85_5w_nt_ce_whole_r4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	5 week	cerebellum	not applicable
soluble_5w_wt_co_rep1	Mus musculus	cerebral cortex	central nervous system	not applicable	normal	juvenile stage	female	B6CBA non-transgenic littermate	5 week	tissue	not applicable	1	20140127_EXQ6_FaHo_SA_50_5w_nt_co_whole_r1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed;PP=Anywhere	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable;PP=Anywhere	NT=Acetyl;AC=UNIMOD:1;MT=Variable;PP=Protein N-term	NT=beam-type collision-induced dissociation;AC=MS:1000422	25 NCE	NT=orbitrap;AC=MS:1000484	4.5 ppm	20 ppm	not available	not available	300m/z	1700m/z	not applicable	1	1	2014-01-27T20:07:54	20140127_EXQ6_FaHo_SA_50_5w_nt_co_whole_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	5 week	cerebral cortex	not applicable
