source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[recombinant protein]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	factor value[recombinant protein]	factor value[treatment]
McIdas_sample3_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_3_PLK4_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_3_PLK4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample3_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_3_PLK4_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_3_PLK4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample4_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_4_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	no kinase
McIdas_sample4_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_4_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	no kinase
McIdas_sample4_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_4_PLK4_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_4_PLK4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample4_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 101-284 aa	20201207_EXPL4_OzKa_SA_Marina_4_PLK4_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_4_PLK4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	NT=Asp-N;AC=MS:1001304	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 101-284 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample5_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 314-385 aa	20201207_EXPL4_OzKa_SA_Marina_5_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_5_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 314-385 aa	no kinase
McIdas_sample5_noPLK4	Homo sapiens	not applicable	not applicable	1	not applicable	no kinase	MCIDAS 314-385 aa	20201207_EXPL4_OzKa_SA_Marina_5_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_5_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 314-385 aa	no kinase
McIdas_sample5_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 314-385 aa	20201207_EXPL4_OzKa_SA_Marina_5_PLK4_1	proteomic profiling by mass spectrometry	1	20201207_EXPL4_OzKa_SA_Marina_5_PLK4_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 314-385 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
McIdas_sample5_PLK4	Homo sapiens	not applicable	not applicable	1	not applicable	in vitro kinase reaction with recombinant Xenopus laevis PLK4	MCIDAS 314-385 aa	20201207_EXPL4_OzKa_SA_Marina_5_PLK4_2	proteomic profiling by mass spectrometry	2	20201207_EXPL4_OzKa_SA_Marina_5_PLK4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	not applicable	label free sample	1	NT=HCD;AC=MS:1000422	28% NCE	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	MCIDAS 314-385 aa	in vitro kinase reaction with recombinant Xenopus laevis PLK4
