source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[enrichment process]	characteristics[spiked compound]	characteristics[depletion]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[enrichment process]
PXD000747-Sample-2	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	purified platelet fraction	not applicable	no depletion	pooled	pooled	20130529_EXQ4_MaZe_SA_P2_4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	1	2013-05-29	20130529_EXQ4_MaZe_SA_P2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	purified platelet fraction
PXD000747-Sample-2	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	purified platelet fraction	not applicable	no depletion	pooled	pooled	20130529_EXQ4_MaZe_SA_P2_3	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	1	2013-05-29	20130529_EXQ4_MaZe_SA_P2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	purified platelet fraction
PXD000747-Sample-3	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	highly purified platelet fraction	not applicable	no depletion	pooled	pooled	20130530_EXQ4_MaZe_SA_P3_11	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	2013-05-30	20130530_EXQ4_MaZe_SA_P3_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	highly purified platelet fraction
PXD000747-Sample-3	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	highly purified platelet fraction	not applicable	no depletion	pooled	pooled	20130530_EXQ4_MaZe_SA_P3_8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	2013-05-30	20130530_EXQ4_MaZe_SA_P3_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	highly purified platelet fraction
PXD000747-Sample-3	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	highly purified platelet fraction	not applicable	no depletion	pooled	pooled	20130530_EXQ4_MaZe_SA_P3_6	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	2013-05-30	20130530_EXQ4_MaZe_SA_P3_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	highly purified platelet fraction
PXD000747-Sample-3	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	highly purified platelet fraction	not applicable	no depletion	pooled	pooled	20130530_EXQ4_MaZe_SA_P3_5	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	4	1	2013-05-30	20130530_EXQ4_MaZe_SA_P3_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	highly purified platelet fraction
PXD000747-Sample-3	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	highly purified platelet fraction	not applicable	no depletion	pooled	pooled	20130530_EXQ4_MaZe_SA_P3_4	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	5	1	2013-05-30	20130530_EXQ4_MaZe_SA_P3_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	highly purified platelet fraction
PXD000747-Sample-3	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	highly purified platelet fraction	not applicable	no depletion	pooled	pooled	20130530_EXQ4_MaZe_SA_P3_3	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	6	1	2013-05-30	20130530_EXQ4_MaZe_SA_P3_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	highly purified platelet fraction
PXD000747-Sample-4	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	ultra-purified platelet fraction	not applicable	no depletion	pooled	pooled	20130531_EXQ4_MaZe_SA_P4_11	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	1	2013-05-31	20130531_EXQ4_MaZe_SA_P4_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	ultra-purified platelet fraction
PXD000747-Sample-4	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	ultra-purified platelet fraction	not applicable	no depletion	pooled	pooled	20130628_EXQ4_MaZe_SA_P4_11	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	1	2	2013-06-28	20130628_EXQ4_MaZe_SA_P4_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	ultra-purified platelet fraction
PXD000747-Sample-4	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	ultra-purified platelet fraction	not applicable	no depletion	pooled	pooled	20130531_EXQ4_MaZe_SA_P4_8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	1	2013-05-31	20130531_EXQ4_MaZe_SA_P4_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	ultra-purified platelet fraction
PXD000747-Sample-4	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	ultra-purified platelet fraction	not applicable	no depletion	pooled	pooled	20130628_EXQ4_MaZe_SA_P4_8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	2	2	2013-06-28	20130628_EXQ4_MaZe_SA_P4_8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	ultra-purified platelet fraction
PXD000747-Sample-4	Mus musculus	blood	platelet	normal	not available	not available	C57BL/6	cell	ultra-purified platelet fraction	not applicable	no depletion	pooled	pooled	20130531_EXQ4_MaZe_SA_P4_6	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	4.5 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not available	NT=Strong anion-exchange chromatography (SAX);AC=PRIDE:0000558	3	1	2013-05-31	20130531_EXQ4_MaZe_SA_P4_6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	ultra-purified platelet fraction
