source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	characteristics[phenotype]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[depletion]	characteristics[treatment]	characteristics[synthetic peptide]	characteristics[spiked compound]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms min mz]	comment[ms max mz]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[phenotype]
PXD000332-Sample-6	Homo sapiens	blood	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	RI-1	CVCL_1885	Ri-1	not available	European ancestry	57Y	female	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	2	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_RIVA2_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	6	2011-05-31	20110531_Velos4_SaDe_SA_RIVA2_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-7	Homo sapiens	blood	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	RI-1	CVCL_1885	Ri-1	not available	European ancestry	57Y	female	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	3	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_RIVA3_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	7	2011-05-31	20110531_Velos4_SaDe_SA_RIVA3_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-8	Homo sapiens	blood	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	RI-1	CVCL_1885	Ri-1	not available	European ancestry	57Y	female	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	4	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-05-31	20110531_Velos4_SaDe_SA_RIVA4_G_110531164844.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	8	2011-05-31	20110531_Velos4_SaDe_SA_RIVA4_G_110531164844.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-9	Homo sapiens	pleural effusion	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	HBL-1	CVCL_4213	HBL-1 [Human diffuse large B-cell lymphoma]	not available	Japanese	65Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	1	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-06-01	20110601_Velos4_SaDe_SA_HBL11_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	9	2011-06-01	20110601_Velos4_SaDe_SA_HBL11_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-10	Homo sapiens	pleural effusion	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	HBL-1	CVCL_4213	HBL-1 [Human diffuse large B-cell lymphoma]	not available	Japanese	65Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	2	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-06-01	20110601_Velos4_SaDe_SA_HBL12_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	10	2011-06-01	20110601_Velos4_SaDe_SA_HBL12_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-11	Homo sapiens	pleural effusion	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	HBL-1	CVCL_4213	HBL-1 [Human diffuse large B-cell lymphoma]	not available	Japanese	65Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	3	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-06-01	20110601_Velos4_SaDe_SA_HBL13_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	11	2011-06-01	20110601_Velos4_SaDe_SA_HBL13_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-12	Homo sapiens	pleural effusion	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	HBL-1	CVCL_4213	HBL-1 [Human diffuse large B-cell lymphoma]	not available	Japanese	65Y	male	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	4	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-06-01	20110601_Velos4_SaDe_SA_HBL14_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	12	2011-06-01	20110601_Velos4_SaDe_SA_HBL14_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-13	Homo sapiens	ascitic fluid	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	U-2932	CVCL_1896	U-2932	not available	not available	29Y	female	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	1	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-06-01	20110601_Velos4_SaDe_SA_U29321_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
PXD000332-superSILAC-mix	Homo sapiens	not applicable	B cell	lymphoma	super-SILAC mix of Ramos, Mutu, BL-41, U-2932, L-428, DB	not available	not available	not applicable	not applicable	not available	not applicable	not applicable	pooled	not applicable	cell line	reference	pooled	pooled	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC heavy	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	13	2011-06-01	20110601_Velos4_SaDe_SA_U29321_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	not applicable
PXD000332-Sample-14	Homo sapiens	ascitic fluid	B cell	Diffuse Large B-Cell Lymphoma Activated B-Cell Type	U-2932	CVCL_1896	U-2932	not available	not available	29Y	female	adult	not available	activated B-cell-like DLBCL subtype	cell line	study sample	not pooled	2	enrichment of glycopeptides	no depletion	not applicable	not synthetic	not applicable	not available	not available	not available	Roswell Park Memorial Institute 1640 Medium	not available	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	SILAC light	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated:18O(1);AC=UNIMOD:366;TA=N;MT=Variable	NT=Trypsin/P;AC=MS:1001313	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	40 NCE	NT=orbitrap;AC=MS:1000484	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	300m/z	1800m/z	not applicable	1	1	2011-06-01	20110601_Velos4_SaDe_SA_U29322_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	activated B-cell-like DLBCL subtype
