source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[disease]	characteristics[sampling time]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[individual]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[elution conditions]	factor value[cell type]	factor value[sampling time]
MHC2-PRE-6	Homo sapiens	vastus lateralis	type II muscle cell	1	not pooled	normal	0 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_6L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_6L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	0 week
MHC2-PRE-6	Homo sapiens	vastus lateralis	type II muscle cell	1	not pooled	normal	0 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_6T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_6T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	0 week
MHC1-POST-7	Homo sapiens	vastus lateralis	type I muscle cell	1	not pooled	normal	12 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_7L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_7L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	12 week
MHC1-POST-7	Homo sapiens	vastus lateralis	type I muscle cell	1	not pooled	normal	12 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_7T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_7T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	12 week
MHC2-POST-8	Homo sapiens	vastus lateralis	type II muscle cell	1	not pooled	normal	12 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_8L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_8L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	12 week
MHC2-POST-8	Homo sapiens	vastus lateralis	type II muscle cell	1	not pooled	normal	12 week	not available	not available	male	adult	sub1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_8T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Post_8T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	12 week
MHC1-PRE-9	Homo sapiens	vastus lateralis	type I muscle cell	2	not pooled	normal	0 week	not available	not available	male	adult	sub2	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_9L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_9L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	0 week
MHC1-PRE-9	Homo sapiens	vastus lateralis	type I muscle cell	2	not pooled	normal	0 week	not available	not available	male	adult	sub2	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_9T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Pre_9T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	0 week
MHC2-PRE-10	Homo sapiens	vastus lateralis	type II muscle cell	2	not pooled	normal	0 week	not available	not available	male	adult	sub2	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_10L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_10L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	0 week
MHC2-PRE-10	Homo sapiens	vastus lateralis	type II muscle cell	2	not pooled	normal	0 week	not available	not available	male	adult	sub2	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_10T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCII_Pre_10T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type II muscle cell	0 week
MHC1-POST-11	Homo sapiens	vastus lateralis	type I muscle cell	2	not pooled	normal	12 week	not available	not available	male	adult	sub2	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_11L	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_11L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	12 week
MHC1-POST-11	Homo sapiens	vastus lateralis	type I muscle cell	2	not pooled	normal	12 week	not available	not available	male	adult	sub2	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_11T	proteomic profiling by mass spectrometry	1	20161223_QE4_nLC12_ASD_SA_SF_MHCI_Post_11T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	6 ppm	20 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=orbitrap;AC=MS:1000484	300m/z-1750m/z	180 min linear gradient 2-60% buffer B (80% acetonitrile, 0.5% formic acid) on 50 cm C18 column	type I muscle cell	12 week
