source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[disease]	characteristics[material type]	characteristics[sex]	characteristics[age]	characteristics[developmental stage]	characteristics[ancestry category]	characteristics[individual]	characteristics[passage number]	characteristics[culture medium]	characteristics[genotype]	characteristics[sample type]	characteristics[enrichment process]	characteristics[depletion]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]
HeLa-BAC_SLF2-GFP_2	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SLF2 (FAM178A)-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	2	run 11	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-06	MCP_ky_0006094_SLF2_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SLF2 (FAM178A)-GFP BAC transgene
HeLa-BAC_SLF2-GFP_3	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SLF2 (FAM178A)-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	3	run 12	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-06	MCP_ky_0006094_SLF2_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SLF2 (FAM178A)-GFP BAC transgene
HeLa-BAC_SLF2-GFP_4	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SLF2 (FAM178A)-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	4	run 13	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-02-15	MCP_ky_0006094_SLF2_4.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SLF2 (FAM178A)-GFP BAC transgene
HeLa-BAC_SLF2-GFP_5	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SLF2 (FAM178A)-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	5	run 14	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-02-15	MCP_ky_0006094_SLF2_5.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SLF2 (FAM178A)-GFP BAC transgene
HeLa-BAC_SLF2-GFP_6	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	SLF2 (FAM178A)-GFP BAC transgene	study sample	protein complex immunoprecipitation	not applicable	6	run 15	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-02-15	MCP_ky_0006094_SLF2_6.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	SLF2 (FAM178A)-GFP BAC transgene
HeLa_untagged_1	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	wild type	negative control	protein complex immunoprecipitation	not applicable	1	run 16	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-25	MCP_ky_0006101_0231_09_BG_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	wild type
HeLa_untagged_2	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	wild type	negative control	protein complex immunoprecipitation	not applicable	2	run 17	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-05	MCP_ky_0006104_0226_46_BG_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	wild type
HeLa_untagged_3	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	wild type	negative control	protein complex immunoprecipitation	not applicable	3	run 18	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-25	MCP_ky_0006114_0231_05_BG_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	wild type
HeLa_untagged_4	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	wild type	negative control	protein complex immunoprecipitation	not applicable	4	run 19	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-02	20130802_HELA_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	wild type
HeLa_untagged_5	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	wild type	negative control	protein complex immunoprecipitation	not applicable	5	run 20	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-05	20130802_HELA_2.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	wild type
HeLa_untagged_6	Homo sapiens	uterine cervix	epithelial cell	HeLa	CVCL_0030	HeLa	uterine cervix	cervical adenocarcinoma	cell line	female	30Y6M	adult	African American	not available	not available	not available	wild type	negative control	protein complex immunoprecipitation	not applicable	6	run 21	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap;AC=MS:1000449	label free sample	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	40 NCE	NT=ion trap;AC=MS:1000264	300m/z-1650m/z	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	7 ppm	0.5 Da	not available	not available	not applicable	1	1	2013-08-05	20130802_HELA_3.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	wild type
