source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 11	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 11	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_01a.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 12	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 12	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_01b.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 13	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 13	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_02a.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 14	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 14	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_03a.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 15	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 15	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_03b.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 16	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 16	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_04a.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 17	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 17	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_04b.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 18	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 18	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_05a.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 19	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 19	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_0-1pct_SCX_05b.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 20	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 20	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_01a.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 21	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 21	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_01b.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 22	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 22	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_02a.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 23	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 23	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_02b.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 24	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 24	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_03a.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 25	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 25	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_03b.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 26	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 26	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_04a.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 27	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 27	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_04b.raw	8	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 28	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 28	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_05a.raw	9	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 29	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	2	run 29	proteomic profiling by mass spectrometry	1	20160929_QE1_nlc1_BTW_SA_hs_HELA_S_Exp3_1-0pct_SCX_05b.raw	10	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 30	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 30	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac1_pH4_5a.raw	1	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 31	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 31	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac1_pH4_5b.raw	2	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 32	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 32	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac1_pH9.raw	3	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 33	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 33	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac2_pH4_5a.raw	4	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 34	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 34	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac2_pH4_5b.raw	5	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 35	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 35	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac2_pH9.raw	6	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 36	Homo sapiens	cervix	epithelial	epithelial cervix carcinoma	HeLa	1	run 36	proteomic profiling by mass spectrometry	1	20161106_QE1_nlc1_BKH_SA_HeLa_1_L_ctrl_H_PCA_HpH_Frac3_pH4_5a.raw	7	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=Acetyl;MT=Variable;TA=K;AC=UNIMOD:1	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
