source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[sdrf version]	comment[sdrf template]
Sample 11	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 11	proteomic profiling by mass spectrometry	1	20141024_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP2_SCX_05.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 12	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 12	proteomic profiling by mass spectrometry	1	20141024_QEP1_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_EXP2_SCX_06.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 13	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 13	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_3_SCX_01.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 14	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 14	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_3_SCX_02.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 15	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 15	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_3_SCX_03.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 16	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 16	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_3_SCX_04.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 17	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 17	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_3_SCX_05.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 18	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 18	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_3_SCX_06.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 19	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 19	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_4_SCX_01.raw	1	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 20	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 20	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_4_SCX_02.raw	2	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 21	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 21	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_4_SCX_03.raw	3	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 22	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 22	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_4_SCX_04.raw	4	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 23	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 23	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_4_SCX_05.raw	5	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 24	Homo sapiens	not applicable	osteosarcoma	not applicable	U2OS	1	run 24	proteomic profiling by mass spectrometry	1	20151119_QEP2_PBE_PB_U2OS_SILAC_MG132_NMS873_6h_GG_IP_replicate_4_SCX_06.raw	6	AC=MS:1002611;NT=silac reagent	NT=Trypsin;AC=MS:1001251	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=Variable	NT=GG;MT=Variable;TA=K;AC=UNIMOD:121	NT=data-dependent acquisition;AC=PRIDE:0000627	v1.1.0	NT=ms-proteomics;VV=v1.1.0
