source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[sampling time]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[genotype]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[sample preparation batch]	comment[ms1 scan range]	comment[scan window lower limit]	comment[scan window upper limit]	factor value[genotype]	factor value[sampling time]
HUDEP2_timecourse_parental_D9_rep2	Homo sapiens	umbilical cord blood	erythroid lineage cell	2	normal	cell line	9 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	wild type	20191226_QX6_OzKa_SA_HUDEP2_WT_D9_R2	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_WT_D9_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	wild type	9 day
HUDEP2_timecourse_parental_D9_rep3	Homo sapiens	umbilical cord blood	erythroid lineage cell	3	normal	cell line	9 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	wild type	20191226_QX6_OzKa_SA_HUDEP2_WT_D9_R3	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_WT_D9_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	wild type	9 day
HUDEP2_timecourse_parental_D12_rep1	Homo sapiens	umbilical cord blood	erythroid lineage cell	1	normal	cell line	12 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	wild type	20191226_QX6_OzKa_SA_HUDEP2_WT_D12_R1	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_WT_D12_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	wild type	12 day
HUDEP2_timecourse_parental_D12_rep2	Homo sapiens	umbilical cord blood	erythroid lineage cell	2	normal	cell line	12 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	wild type	20191226_QX6_OzKa_SA_HUDEP2_WT_D12_R2	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_WT_D12_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	wild type	12 day
HUDEP2_timecourse_parental_D12_rep3	Homo sapiens	umbilical cord blood	erythroid lineage cell	3	normal	cell line	12 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	wild type	20191226_QX6_OzKa_SA_HUDEP2_WT_D12_R3	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_WT_D12_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	wild type	12 day
HUDEP2_timecourse_MAEA-KO-cl3-1_D0_rep1	Homo sapiens	umbilical cord blood	erythroid lineage cell	1	normal	cell line	0 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	MAEA knockout	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D0_R1	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D0_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	MAEA knockout	0 day
HUDEP2_timecourse_MAEA-KO-cl3-1_D0_rep2	Homo sapiens	umbilical cord blood	erythroid lineage cell	2	normal	cell line	0 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	MAEA knockout	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D0_R2	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D0_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	MAEA knockout	0 day
HUDEP2_timecourse_MAEA-KO-cl3-1_D0_rep3	Homo sapiens	umbilical cord blood	erythroid lineage cell	3	normal	cell line	0 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	MAEA knockout	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D0_R3	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D0_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	MAEA knockout	0 day
HUDEP2_timecourse_MAEA-KO-cl3-1_D3_rep1	Homo sapiens	umbilical cord blood	erythroid lineage cell	1	normal	cell line	3 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	MAEA knockout	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D3_R1	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D3_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	MAEA knockout	3 day
HUDEP2_timecourse_MAEA-KO-cl3-1_D3_rep2	Homo sapiens	umbilical cord blood	erythroid lineage cell	2	normal	cell line	3 day	Japanese	<1D	not available	HUDEP-2	CVCL_VI06	HUDEP-2	MAEA knockout	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D3_R2	proteomic profiling by mass spectrometry	1	20191226_QX6_OzKa_SA_HUDEP2_MAEA_KO_Cl31_D3_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	Data-independent acquisition	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	not available	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=orbitrap;AC=MS:1000484	time course	300m/z-1650m/z	300	1650	MAEA knockout	3 day
