source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[sex]	characteristics[material type]	characteristics[treatment]	characteristics[treatment]	characteristics[sampling time]	characteristics[sampling time]	characteristics[enrichment process]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[reduction reagent]	comment[alkylation reagent]	comment[sample preparation batch]	comment[acquisition date]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[treatment]	factor value[sampling time]
PCP_HFD3_4_FR16	Mus musculus	liver	not applicable	insulin resistance	adult	C57BL/6J	male	tissue	high fat diet	not applicable	3 week	not applicable	density gradient centrifugation	not applicable	3	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr16	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20150813_QEp7	2015-08-23	not applicable	1	1	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	insulin resistance	not applicable	not applicable
PCP_HFD3_4_FR17	Mus musculus	liver	not applicable	insulin resistance	adult	C57BL/6J	male	tissue	high fat diet	not applicable	3 week	not applicable	density gradient centrifugation	not applicable	3	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr17	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20150813_QEp7	2015-08-22	not applicable	1	1	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	insulin resistance	not applicable	not applicable
PCP_HFD3_4_FR18	Mus musculus	liver	not applicable	insulin resistance	adult	C57BL/6J	male	tissue	high fat diet	not applicable	3 week	not applicable	density gradient centrifugation	not applicable	3	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr18	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20150813_QEp7	2015-08-21	not applicable	1	1	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	insulin resistance	not applicable	not applicable
PCP_HFD3_4_FR19	Mus musculus	liver	not applicable	insulin resistance	adult	C57BL/6J	male	tissue	high fat diet	not applicable	3 week	not applicable	density gradient centrifugation	not applicable	3	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr19	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20150813_QEp7	2015-08-20	not applicable	1	1	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	insulin resistance	not applicable	not applicable
PCP_HFD3_4_FR20	Mus musculus	liver	not applicable	insulin resistance	adult	C57BL/6J	male	tissue	high fat diet	not applicable	3 week	not applicable	density gradient centrifugation	not applicable	3	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr20	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20150813_QEp7	2015-08-18	not applicable	1	1	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	insulin resistance	not applicable	not applicable
PCP_HFD3_4_FR21	Mus musculus	liver	not applicable	insulin resistance	adult	C57BL/6J	male	tissue	high fat diet	not applicable	3 week	not applicable	density gradient centrifugation	not applicable	3	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr21	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20150813_QEp7	2015-08-17	not applicable	1	1	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	insulin resistance	not applicable	not applicable
PCP_HFD3_4_FR22	Mus musculus	liver	not applicable	insulin resistance	adult	C57BL/6J	male	tissue	high fat diet	not applicable	3 week	not applicable	density gradient centrifugation	not applicable	3	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr22	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20150813_QEp7	2015-08-16	not applicable	1	1	20150813_QEp7_NaKr_SA_liver_HFD_3_4_gradient_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	insulin resistance	not applicable	not applicable
PCP_control2_FR01	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr01	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-10-29	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR02	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr02_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-11-01	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr02_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR03	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr03_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-11-01	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr03_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR04	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr04_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-11-01	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr04_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR05	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr05	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-10-30	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR06	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr06	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-10-30	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR07	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr07	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-10-30	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR08	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr08	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-10-30	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR09	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr09	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-10-30	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR10	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr10_151030223255	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-10-30	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr10_151030223255.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR11	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr11_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-11-01	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr11_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR12	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr12_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-11-01	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr12_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
PCP_control2_FR13	Mus musculus	liver	not applicable	normal	adult	C57BL/6J	male	tissue	low fat diet	not applicable	12 week	not applicable	density gradient centrifugation	not applicable	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr13_1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	label free sample	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;TA=M;MT=Variable;AC=UNIMOD:35	NT=Acetyl;PP=Protein N-term;MT=Variable;AC=UNIMOD:1	not applicable	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=orbitrap;AC=MS:1000484	300m/z-1650m/z	200m/z-2000m/z	NT=Tris(2-carboxyethyl)phosphine (TCEP);AC=PRIDE:0000609	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	20152910_QEp7	2015-11-02	not applicable	1	1	20152910_QEp7_NaKr_SA_liver_control2_gradient_fr13_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	normal	not applicable	not applicable
